traffic_volume,Day sin,Day cos,Year sin,Year cos,temp,clouds_all,rain_1h,snow_1h,is_weekend,is_holiday,weather_Clear,weather_Clouds,weather_Drizzle,weather_Fog,weather_Haze,weather_Mist,weather_Rain,weather_Smoke,weather_Snow,weather_Squall,weather_Thunderstorm,dayofweek,day,month,year,day_hour
5545.0,0.7933533402894399,0.6087614290110602,-0.9998433424372732,0.0177000164932578,288.28,40.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0,2012.0,9.0
4516.0,0.9238795325081384,0.3826834323726904,-0.9998303985302076,0.0184166819738555,289.36,75.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0,2012.0,10.0
4767.0,0.991444861373947,0.1305261922190133,-0.9998169409333236,0.0191333379923865,289.58,90.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0,2012.0,11.0
5026.0,0.9914448613743626,-0.1305261922158571,-0.9998029696535352,0.0198499841806493,290.13,90.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0,2012.0,12.0
4918.0,0.9238795325149256,-0.382683432356305,-0.9997884846980208,0.0205666201704477,291.14,75.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0,2012.0,13.0
5181.0,0.7933533402913779,-0.6087614290085346,-0.999773486074222,0.0212832455935906,291.72,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0,2012.0,14.0
5584.0,0.6087614290130938,-0.7933533402878794,-0.9997579737898454,0.0219998600818923,293.17,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0,2012.0,15.0
6015.0,0.3826834323750586,-0.9238795325071576,-0.9997419478528604,0.0227164632671729,293.86,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0,2012.0,16.0
5791.0,0.1305261922215548,-0.9914448613736124,-0.9997254082715006,0.0234330547812582,294.14,20.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0,2012.0,17.0
4770.0,-0.1305261922133156,-0.9914448613746972,-0.999708355054264,0.0241496342559799,293.1,20.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0,2012.0,18.0
3539.0,-0.3826834323539368,-0.9238795325159064,-0.999690788209912,0.024866201323176,290.97,20.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0,2012.0,19.0
2784.0,-0.608761429006501,-0.7933533402929384,-0.9996727077474702,0.0255827556146909,289.38,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0,2012.0,20.0
2361.0,-0.793353340286319,-0.6087614290151275,-0.9996541136762278,0.0262992967623755,288.61,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0,2012.0,21.0
1529.0,-0.9238795325117454,-0.3826834323639826,-0.9996350060057364,0.0270158243981443,287.16,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0,2012.0,22.0
963.0,-0.991444861373278,-0.1305261922240962,-0.9996153847458162,0.0277323381537483,285.45,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0,2012.0,23.0
506.0,-0.9914448613750316,0.1305261922107742,-0.9995952499065468,0.028448837661116,284.63,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,10.0,2012.0,0.0
321.0,-0.9238795325113186,0.3826834323650128,-0.9995746014982726,0.0291653225521265,283.47,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,10.0,2012.0,1.0
273.0,-0.7933533402944989,0.6087614290044673,-0.9995534395316026,0.0298817924586663,281.18,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,10.0,2012.0,2.0
367.0,-0.6087614290171611,0.7933533402847586,-0.9995317640174094,0.0305982470126298,281.09,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,10.0,2012.0,3.0
814.0,-0.3826834323663509,0.9238795325107644,-0.9995095749668292,0.0313146858459191,279.53,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,10.0,2012.0,4.0
2718.0,-0.1305261922266376,0.9914448613729432,-0.999486872391262,0.0320311085904444,278.62,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,10.0,2012.0,5.0
5673.0,0.1305261922082328,0.9914448613753664,-0.9994636563023724,0.0327475148781242,278.23,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,10.0,2012.0,6.0
5673.0,0.1305261922082328,0.9914448613753664,-0.9994636563023724,0.0327475148781242,278.23,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,10.0,2012.0,6.0
6511.0,0.6087614290024337,0.7933533402960593,-0.9994156836326008,0.034180276610664,278.12,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,10.0,2012.0,8.0
5471.0,0.7933533402920567,0.60876142900765,-0.9993909270763656,0.034896631319404,282.48,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,10.0,2012.0,9.0
5471.0,0.7933533402920567,0.60876142900765,-0.9993909270763656,0.034896631319404,282.48,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,10.0,2012.0,9.0
5471.0,0.7933533402920567,0.60876142900765,-0.9993909270763656,0.034896631319404,282.48,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,10.0,2012.0,9.0
5097.0,0.9914448613738016,-0.1305261922201188,-0.999313576675686,0.0370455863990308,291.97,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,10.0,2012.0,12.0
4887.0,0.9238795325132806,-0.3826834323602763,-0.9992867663422924,0.0377618671832445,293.23,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,10.0,2012.0,13.0
5337.0,0.7933533402976198,-0.6087614290004001,-0.9992594425983858,0.0384781285662811,294.31,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,10.0,2012.0,14.0
5692.0,0.6087614290096837,-0.7933533402904962,-0.9992316054580048,0.0391943701801419,295.17,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,10.0,2012.0,15.0
6137.0,0.3826834323710873,-0.9238795325088024,-0.9992032549354516,0.0399105916568386,295.13,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,10.0,2012.0,16.0
6137.0,0.3826834323710873,-0.9238795325088024,-0.9992032549354516,0.0399105916568386,295.13,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,10.0,2012.0,16.0
4623.0,-0.1305261922175774,-0.991444861374136,-0.9991450138023548,0.0413429727268374,293.66,20.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,10.0,2012.0,18.0
3591.0,-0.3826834323579081,-0.9238795325142616,-0.9991151232217343,0.0420591315842153,290.65,20.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,10.0,2012.0,19.0
2898.0,-0.6087614290099113,-0.7933533402903216,-0.9990847193187876,0.0427752688325805,288.19,20.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,10.0,2012.0,20.0
2637.0,-0.7933533402889358,-0.6087614290117173,-0.9990538021091347,0.0434913841039984,287.1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,10.0,2012.0,21.0
1777.0,-0.9238795325078216,-0.3826834323734555,-0.9990223716086613,0.0442074770305453,286.25,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,10.0,2012.0,22.0
1015.0,-0.991444861373839,-0.1305261922198344,-0.9989904278335144,0.0449235472443092,285.26,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,10.0,2012.0,23.0
598.0,-0.9914448613744709,0.130526192215036,-0.998957970800107,0.0456395943773898,284.55,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,10.0,2012.0,0.0
369.0,-0.9238795325152424,0.3826834323555399,-0.9989250005251142,0.0463556180618985,283.47,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,10.0,2012.0,1.0
312.0,-0.7933533402918821,0.6087614290078776,-0.9988915170254729,0.0470716179300157,283.17,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,10.0,2012.0,2.0
367.0,-0.6087614290137509,0.7933533402873754,-0.9988575203183916,0.0477875936137635,282.04,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,10.0,2012.0,3.0
835.0,-0.3826834323758237,0.9238795325068406,-0.998823010421334,0.048503544745347,281.69,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,10.0,2012.0,4.0
2726.0,-0.1305261922223758,0.9914448613735044,-0.9987879873520308,0.0492194709569269,281.32,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,10.0,2012.0,5.0
5689.0,0.1305261922124946,0.9914448613748053,-0.998752451128476,0.0499353718806768,280.74,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,10.0,2012.0,6.0
6990.0,0.3826834323666159,0.9238795325106546,-0.9987164017689272,0.0506512471487834,280.57,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,10.0,2012.0,7.0
5985.0,0.608761429005844,0.7933533402934425,-0.9986798392919056,0.0513670963934464,281.86,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,10.0,2012.0,8.0
5309.0,0.7933533402858148,0.6087614290157846,-0.9986427637161964,0.052082919246879,284.98,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,10.0,2012.0,9.0
4603.0,0.9238795325114284,0.3826834323647478,-0.9986051750608484,0.0527987153413079,289.18,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,10.0,2012.0,10.0
4884.0,0.9914448613731698,0.1305261922249172,-0.9985670733451733,0.0535144843089736,291.55,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,10.0,2012.0,11.0
5104.0,0.99144486137514,-0.1305261922099532,-0.9985284585887472,0.0542302257821304,294.97,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,10.0,2012.0,12.0
5178.0,0.9238795325116356,-0.3826834323642477,-0.9984893308114092,0.0549459393930469,296.38,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,10.0,2012.0,13.0
5501.0,0.793353340295003,-0.6087614290038104,-0.9984496900332624,0.0556616247740059,297.32,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,10.0,2012.0,14.0
